name,stuff,bv,difficulty,tags,methods,tools,cook,image_filename
东坡肉,猪肉,BV1udMuzLEKA,困难,,,一口万能的大锅,"食材（4人份）
五花肉1千克
香葱150克
花雕酒250克
八角2克，桂皮2克
大葱20克
姜20克
冰糖35克 酱油75克，
红曲粉5克 开水2千克

流程
1 烙肉
无油无水，整块猪肉皮朝下下锅，炙烧到四周颜色一致，出锅进冷水，用刀刮去表面焦黑部分

2 凉水下锅
下葱姜花雕酒，小火煲煮20-40分钟，撇去表面的一层肥油，取出捞肉定型（不变形的关键），放在平面上，用物理挤压，压实排油。

3 改刀定型，煎制肉皮
切成一个个正方块大小的肉块，热锅无油，肉皮朝下下锅，融化油脂

4 少油烹制
锅底喷油既可，下入一把香葱铺在锅底，肉皮朝下放在葱上，加入花雕酒去腥膻

5 加入配料
加入调料，少酌水慢酌火，小火炖煮45分钟，开锅收汁。

小贴士
1 配白米饭、糯米饭一流
2 搭一碗青菜汤、或清炒小白菜，解腻提香
3 可以做成小块东坡肉盖饭，商用摆盘也好看
",35
电饭煲叉烧肉（叉烧酱版）,猪肉、米,BV127411W75D,普通,,,电饭煲,"食材（约2–4人份）
梅花肉（半肥瘦）500 克
叉烧酱 2–3 汤匙、生抽 1 汤匙、蚝油 1 汤匙、料酒 1 汤匙
蜂蜜 1–5 汤匙（甜度和色泽由此定）；姜片、蒜末、葱白 少许
老抽 半汤匙（可选，加深色泽）
腌料可增香：蒜末 2 瓣、姜末 2 片、豆豉少许（可选）

一锅流程
1. 腌制肉片
以梅花肉为例，切块或条状后用叉子扎孔帮助入味，加入上述所有调料（叉烧酱、生抽、蚝油、蜂蜜、姜蒜、料酒、老抽、豆豉等），抓匀后冷藏至少 1 小时，建议腌制一晚风味更佳

2. 电饭煲入锅
在电饭煲内胆底部可铺几片姜片或葱段防粘，连腌料一起将腌好的叉烧肉放入内胆

3. 启动烹煮
按下“煮饭”程序：
半斤肉左右大约煮 15 分钟，翻一次面再煮约 10–15 分钟；
如果是大块或偏厚，可以整体煮约 25 分钟，或待煮饭结束进入保温后继续焖 5–10 分钟收汁

4. 出锅切片
煮好后取出放凉再切片，搭配电饭煲底部浓稠的蜜汁淋于叉烧上，更添风味

小贴士
1 入味关键  香肉嫩蜜全靠叉烧酱与蜂蜜，腌制时间越久越入味。
2 翻动技巧  中途翻面有助热量均匀，避免某面过干或不熟。
3 控糖控色  蜂蜜量影响焦糖感，老抽决定最终色泽。
4 无水原则 “不加一滴水”的方式最省事，酱料本身就有足够水分
5 防粘结构  内锅铺姜片葱白既防粘又能防止底焦。
6 切片需放凉  刚煮出高温切肉易散，建议等数分钟凉一下再切。",36
温泉蛋,鸡蛋,BV1EJ411Y7fU,简单,,,一口万能的大锅、电饭煲,"食材
鸡蛋：建议用室温鸡蛋，可以避免温差导致破裂 
目标口感：蛋白几乎未凝固呈甜豆腐般柔滑（流质＋微胶状）、蛋黄半熟浓稠
推荐经典调味酱汁
日式酱油	1 汤匙	提鲜、上色
味醂	½ 汤匙	带香甜
日式高汤或温水	约 400ml	稀释调味
糖、少许盐	根据口味适量	平衡咸甜
可选：葱花、柴鱼片、七味粉	适量	增添风味层次

方法一：传统冷水/热水浸泡（无需仪器）
1 在锅中加入 1000ml 滚水，立即关火（用耐热锅具最佳）

2 加入约 300ml 室温水，将水温控制降至约 65‑70 ℃（最佳区域）

3 轻轻放入常温鸡蛋，盖上盖子浸泡 约15–20分钟（时间可调节蛋黄熟度）

4 拿出放入 冰水冷却约5分钟，停止继续加热，并更容易剥壳 

5 剥壳后直接开吃，或搭配经典日式酱汁

方法二：电饭煲保温模式（无需开火）
1 将鸡蛋连同水装入电饭煲内胆，水温控制在约70℃，水量刚好覆盖鸡蛋即可

2 启动 保温模式，焗煮约15分钟

3 然后取出放入冰水冷却约 5 分钟，即可脱壳使用

小贴士
1 尽量使用室温鸡蛋以免大温差造成破裂 
2 若鸡蛋较冷，建议少量操作并用沸水兑冷水 确保水温稳定 
3 若你有 低温慢煮设备，可以设定 约 65‑68℃ 水浴 30‑40 分钟，一致性最高 
4 温泉蛋建议 现做现吃，冷藏保存最多一天以保口感及食品安全",37
电饭煲窝蛋牛肉饭,牛肉、鸡蛋、米,BV1aA411q7b9,简单,,,电饭煲,"食材（1–2人份）
牛里脊肉 200克，切薄片或剁碎
姜丝 约 1 小块
腌料：生抽 2 勺、老抽 1 勺、淀粉 2 勺、食用油 2 勺（拌匀牛肉使嫩滑）（基于🍽️“日食记”电饭煲版本）
大米 1 碗（洗净）、水量稍高于米面一指节左右
鸡蛋 1 颗（推荐兰皇蛋、可生食安全蛋品）
拌汁：生抽 2 勺、蒸鱼豉油 2 勺、芝麻油 1 勺、水 2 勺
配料点缀：葱花少许

 一锅流程
1 腌制牛肉
切薄片或切末的牛里脊加入姜丝、生抽、老抽、淀粉和油，抓匀后腌制约 30 分钟备用

2 煮米
将洗净的大米放入电饭煲，加水至略高于米面，启动“煮饭”程序。

3 加牛肉
米饭煮熟后打开盖子，将腌好的牛肉片均匀铺在饭上，再按“煮饭键”继续加热约 10 分钟，让牛肉受热熟透入味

4 打蛋窝蛋
中间打入一颗生鸡蛋，关盖焖煮大约 5–6 分钟，直至蛋白凝固但蛋黄仍呈流动状（溏心蛋效果）

5 出锅与调味
打开盖后淋上事先调好的拌汁（生抽+蒸鱼豉油+芝麻油+水）的混合液，再撒点葱花拌匀即可享用

小贴士
1 牛肉尽量切薄或剁碎，易熟且入味均匀，肉质滑嫩不柴。
2 蛋黄偏好溏心状态：煮 5–6 分钟即可，时间过长蛋黄会完全凝固而失去流动感。（也可搜索温泉蛋做法）
3 拌汁调味灵活：你可以根据口味加蒜末、辣椒酱或少量糖提升层次。
4 米饭水量控制：水量通常高于米面一指节即可，既能保证米饭软硬适中，又不会因太湿导致口感稀糊。
5 卫生安全：若使用的是常规超市蛋，不建议吃生蛋白，需保证蛋完全熟透。",38
电饭锅酱牛肉,牛肉、米饭,BV1sv411C7qW,,,,电饭煲,"食材（1‑2人份）
牛腱子肉 200克（或牛里脊）
姜片 3‑4片
葱段 若干
八角、桂皮、花椒、香叶、干辣椒 若干
酱油、生抽 每适量，老抽少许上色
黄酱或蚝油、冰糖或白糖、料酒、盐 适量

一锅流程

1 牛肉冷水泡去血水数小时（需换水）后洗净切块备用 

2 电饭煲加水煮开后放入牛肉，焯水后洗净备用 

3 清洗电饭煲后放入香料、葱姜、调味料与牛肉，注水约没过牛肉一半

4 启动“煮饭档”，煮约45分钟后转“保温档”反复，至肉软烂（可焖一夜更入味） 

5 出锅切片，可与卤蛋同享

小贴士

1 牛肉宜用牛腱子或纹理清晰部位，耐卤不柴
2 焯水步骤可去除异味和杂质
3 可将煮好的牛肉泡在酱汁中过夜，风味更浓
4 调味可按口味调酱油与糖的量",39
烤箱版M记同款薯条,土豆,BV1nA411P7aX,,同款,,烤箱,"食材（1‑2人份）
苹果 1–2个，切丁或切薄片
细砂糖/红糖 25g（或依甜度调整）
肉桂粉 少许
玉米淀粉 5g兑水
黄油 10g
低筋面粉 约270g
牛奶 少许制作派皮
鸡蛋液 少量用于刷皮

一锅流程（烤箱流程）
1 派皮：黄油与面粉混合、加牛奶揉成面团，分大、小两部分，大片铺底

2 苹果丁加黄油炒软，加入糖和肉桂，煮至出汁后用淀粉水勾薄芡，调成馅料 

3 馅料摊在派皮上，覆盖另一块面团，边缘压紧，表面刷蛋液并撒糖和肉桂粉

4 预热烤箱至 180 °C，烤约17‑20分钟至表皮金黄酥脆 

小贴士
1 馅料制作可提前冷却再铺入派皮
2 刀切顶部小口，有助蒸气排出、防止爆裂
3 可搭配香草冰淇淋食用风味更佳
4 甜度与苹果酸度可配合选择如青苹果或粉红佳人苹果",40
空心小薯片,土豆、鸡蛋,BV1164y1s7Qq,,零食,烘,一口万能的大锅、烤箱,"食材（1‑2人份）
马铃薯 2‑3个，去皮切约0.2‑0.3cm薄片
盐 约1小匙
高温食用油 适量
（可搭配胡椒盐或番茄酱）

一锅流程

1 薯片切好后撒盐腌制 8‑10 分钟，帮助释放水分兼调味 

2 清洗薯片并彻底擦干

3 锅中热油至适温，下片炸至浮起状，即撈出控油

4 二次升温重新下锅，进一步炸至薄层鼓泡鼓起、酥脆金黄後捞出 

小贴士
1 一定要彻底控干水分，否则不易鼓泡且不脆
2 油温控制关键：第一次低温解水，第二次高温酥脆
3 装盘时可撒胡椒盐或蘸酱食用",41
气泡小土豆,土豆,BV17h411J7Jq,简单,零食,烘,烤箱,"食材（1‑2人份）
土豆 数个，中等大小，蒸熟后去皮
黄油 适量
盐 适量

一锅流程

1 土豆蒸熟后晾凉，加黄油搅拌至顺滑如面团状态 

2 将土豆泥装入裱花袋，挤出直径约1‑2cm的小球，放在烤盘上

3 烤箱预热至 170℃，上下火烤约25分钟，表面膨胀空心但不硬脆 

小贴士
1 土豆球不要太大，否则难形成空心结构
2 若混合物太干，可补充少量黄油调节湿度
3 出炉后空心口感酥软，不是脆片
4 适合作为宝宝辅食或追剧小零食",42
烤箱版M记同款麦乐鸡,土豆、鸡肉、鸡蛋,BV19v411J7MG,,同款,,烤箱,"食材（1–2人份）
- 半成品鸡块 适量
- 烤箱 1 台
- 烘焙纸 若干

一锅流程
1. 烤箱预热至 200 ℃，烤盘铺上烘焙纸。
2. 将无需解冻的鸡块均匀摆放于烤盘，保持间距。
3. 以 200 ℃ 烤正面 10 分钟，翻面后改为 180 ℃ 再烤 10 分钟，至金黄酥脆。

小贴士
- 选用市售半成品鸡块最省时且口感稳定。
- 若喜欢更酥脆，可在最后 2 分钟开启风扇或上火功能。",43
烤箱版KFC同款香辣鸡翅,鸡肉,BV1jA4y197RR,,同款,,烤箱,"食材（1–2人份）
- 鸡中翅 6–8 支
- 生抽 1 勺
- 辣椒粉 1 勺
- 面粉 适量
- 食用油 适量（用于炸制或刷烤）

一锅流程
1. 鸡翅洗净，两面各切两三刀，便于入味。
2. 把生抽、辣椒粉、少许盐与鸡翅抓匀，盖保鲜膜冰箱腌制 ≥ 4 小时。
3. 裹一层干面粉，再过水后再次裹粉制成“鱼鳞状”。
4. 如油炸：160 ℃ 预热油锅，中火炸 4 分钟捞出；200 ℃ 复炸至金黄；如烤箱：200 ℃ 烤 20 分钟，中途翻面一次。

小贴士
- “过水再裹粉”是形成酥脆鱼鳞的重要步骤。
- 炸制或烤制时油温/温度可根据自家设备微调。",44
烤箱版M记同款薯饼,土豆,BV1qy4y1y7Mn,,同款,,烤箱,"食材（1–2人份）
- 土豆 2 个
- 盐 适量
- 植物油 少许（刷盘或喷雾）

一锅流程
1. 土豆去皮切小丁，放清水中淘洗 2–3 遍去除淀粉。
2. 沥干水分后，用厨房纸彻底吸干，再拌入少许盐和油。
3. 烤箱预热至 200 ℃，将薯丁平铺烤盘，烤约 15–18 分钟至外酥里软。

小贴士
- 控干水分是保证薯饼酥脆的关键。
- 烤到中途可翻面一次，让受热更均匀。",45
烤箱烧烤,土豆、胡萝卜、花菜、西葫芦、芹菜、洋葱、莴笋、菌菇、茄子、包菜、午餐肉、香肠、鸡肉、猪肉、虾、牛肉、鸡肉,BV17P4y1W7Ze,,杂烩,,烤箱,"食材（1–2人份）
- 羊肉、鸡翅、火腿肠、豆腐、土豆、金针菇等各类食材共约 300 g
- 生抽 2 勺、蚝油 2 勺、孜然粉 2 勺、辣椒粉 2 勺、白糖 ½ 勺
- 食用油 3 勺、白芝麻 1 勺、蒜末 1 勺

一锅流程
1. 所有食材洗净、切好后擦干水分，摆入铺锡纸的烤盘。
2. 将生抽等调料混合成酱汁，均匀刷在食材表面。
3. 200 ℃ 预热烤箱，上下火烤 20 分钟；取出再刷酱，撒孜然粉，180 ℃ 烤 10 分钟。

小贴士
- 蔬菜单独烤易出水，可与肉类同盘烤制，保证风味。
- 根据食材出水情况中途翻面并补刷酱汁。",46
烤箱迎客菜,牛肉、茄子、鸡肉、鸡蛋、豆腐、菌菇、番茄,BV1ug4y1B7CR,,杂烩,,烤箱,"食材（1–2人份）
- 梅花肉（叉烧用）300 g，切厚片
- 烤酱汁：生抽、老抽、蜜糖、五香粉各适量
- 韭菜花 适量、黑胡椒碎、炒香芝麻 少许

一锅流程
1. 将梅花肉片与烤酱汁抓匀，腌制 ≥ 2 小时。
2. 200 ℃ 预热烤箱，肉片铺锡纸烤 30–40 分钟，期间翻面并刷酱 2–3 次。
3. 烤至表面微焦后取出，铺上焯熟的韭菜花，撒黑胡椒和芝麻，回炉 5 分钟即可。

小贴士
- 梅花肉肥瘦相间，最适合制作叉烧，口感甜嫩。
- 腌制越久越入味，但不宜超过 24 小时。",47
爆浆鸡腿,鸡肉,BV1ju411X7mx,复杂,,烤,烤箱,"食材（1–2人份）
鸡腿 2只
马苏里拉芝士 适量
盐 适量
黑胡椒 适量
生抽 1勺
蚝油 1勺
蒜末 适量

一锅流程
1. 鸡腿去骨，背面切开口，撒盐、黑胡椒、生抽、蚝油、蒜末腌制30分钟。
2. 芝士塞入口，用牙签封口。
3. 烤盘铺锡纸，鸡腿表面刷油。
4. 烤箱200℃预热，烤25-30分钟，表皮金黄即可。

小贴士
1. 芝士塞满，爆浆效果更好。
2. 用牙签固定防止芝士流出。
3. 喜辣可撒辣椒粉。
",48
BBQ烤鸡腿,鸡肉,BV1Zr4y1B7UQ,简单,,烤,烤箱,"食材（1–2人份）
鸡腿 2-4只
BBQ烤酱 2勺
生抽 1勺
黑胡椒 适量
蒜末 适量
蜂蜜 1勺

一锅流程
1. 鸡腿洗净划口，加入BBQ酱、生抽、黑胡椒、蒜末腌制1小时。
2. 烤盘铺锡纸，鸡腿排好。
3. 烤箱预热200℃，烤20分钟，翻面再烤10分钟。
4. 最后刷蜂蜜，继续烤5分钟上色。

小贴士
1. 腌制越久越入味。
2. 蜂蜜可提亮表皮。
3. 可配青柠食用。
",49
BBQ烟熏手撕猪肉,猪肉,BV1DV411x7SH,复杂,,烤,烤箱,"食材（1–2人份）
猪肩肉 500克
BBQ烤酱 3勺
黑胡椒 适量
盐 适量
洋葱 1个
大蒜 4瓣

一锅流程
1. 猪肩肉抹盐和黑胡椒，腌制30分钟。
2. 加入洋葱、蒜末、BBQ酱搅匀，包锡纸。
3. 烤箱150℃烤2小时，取出用叉子撕成丝拌匀。
4. 再入烤箱200℃烤10分钟上色。

小贴士
1. 低温慢烤更软烂。
2. 剩余肉汁拌入更入味。
3. 可夹面包、玉米饼食用。
",50
馋嘴烤箱版烧烤,土豆、鸡肉,BV1wv411h7d6,普通,,烤,烤箱,"食材（1–2人份）
鸡翅/五花肉/香菇 200克
青红椒块 若干
烧烤酱 2勺
孜然粉 适量
黑胡椒 适量
盐 适量
橄榄油 1勺

一锅流程
1. 肉类切块，用烧烤酱、孜然、黑胡椒腌制30分钟。
2. 肉和蔬菜串成串，表面刷油。
3. 烤箱预热200℃，中层烤20-25分钟，中途翻面。
4. 出炉撒孜然粉即可。

小贴士
1. 竹签泡水防烤焦。
2. 肉蔬菜可自由组合。
3. 烤时多翻动更均匀。
",51
脆皮五花肉和蜜汁叉烧,猪肉,BV17u411i7jF,普通,,烤,烤箱,"食材（1–2人份）
五花肉 400克
叉烧酱 2勺
蜂蜜 1勺
盐 适量
白醋 1勺

一锅流程
1. 五花肉洗净划口，抹盐、醋、叉烧酱腌制2小时。
2. 蜜汁涂表面。
3. 烤箱200℃，皮朝上烤30分钟，刮盐，转220℃再烤20分钟。
4. 取出切块。

小贴士
1. 蜜汁上色，脆皮更香。
2. 扎孔多表皮更脆。
3. 腌制时间可延长。
",52
法棍,面包,BV1Kc411h7eJ,普通,,,烤箱,"食材（1–2人份）
高筋面粉 250克
水 170克
酵母 2克
盐 3克

一锅流程
1. 面粉、酵母、盐混匀，加水揉成团，醒发30分钟。
2. 揉光滑松弛15分钟，整形成条，表面划口，二次发酵30分钟。
3. 烤箱220℃预热，喷水，烘烤20-25分钟至表皮金黄酥脆。

小贴士
1. 整形后喷水有助于表皮脆化。
2. 烤前划口可防止膨胀开裂。
3. 时间温度可根据烤箱调整。
",53
汉堡面包,鸡蛋、面包,BV1ga411h7cw,普通,,,烤箱,"食材（1–2人份）
高筋面粉 200克
牛奶 100克
鸡蛋 1个
细砂糖 25克
酵母 3克
黄油 20克
盐 2克
黑芝麻 少许

一锅流程
1. 面粉、酵母、糖、盐混合，加入鸡蛋和牛奶揉成面团，加入黄油揉至扩展。
2. 发酵至2倍大，分割滚圆松弛10分钟。
3. 整形成圆，放烤盘二发30分钟。
4. 表面刷蛋液，撒芝麻。
5. 烤箱180℃，烘烤15-18分钟。

小贴士
1. 面团揉到扩展阶段。
2. 发酵不宜过高温。
3. 表面刷蛋液撒芝麻更美观。
",54
火山熔岩蛋,土豆、鸡蛋,BV1Xy4y1L7ok,困难,,烘,烤箱,"食材（1–2人份）
鸡蛋 2个
吐司片 2片
芝士片 2片
牛奶 适量
黑胡椒 适量
盐 适量

一锅流程
1. 吐司中间压洞，铺在烤盘。
2. 洞里放芝士、打入鸡蛋。
3. 四周刷牛奶，撒盐、黑胡椒。
4. 烤箱180℃烤8-10分钟至蛋黄溏心。

小贴士
1. 溏心效果控制烘烤时间。
2. 芝士片可自由选择。
3. 可加培根或蔬菜。
",55
烤布丁,鸡蛋,BV1TT4y127vu,,,烘,烤箱,"食材（1–2人份）
鸡蛋 2个
牛奶 250ml
细砂糖 40g
香草精 数滴
（可选）焦糖液

一锅流程
1. 鸡蛋打散加糖搅匀，缓缓倒入温牛奶搅匀。
2. 过筛，加香草精，倒布丁杯。
3. 烤箱150℃，布丁杯水浴烘烤40分钟至凝固。
4. 冷藏更佳。

小贴士
1. 牛奶加热成品更滑。
2. 过滤蛋液去泡沫。
3. 可加焦糖液。
",56
烤箱版爆浆鸡腿,鸡肉,BV1ju411X7mx,复杂,,,烤箱,"食材（1–2人份）
鸡腿 2只
马苏里拉芝士 适量
盐 适量
黑胡椒 适量
生抽 1勺
蚝油 1勺
蒜末 适量

一锅流程
1. 鸡腿去骨划口，撒盐、黑胡椒、生抽、蚝油、蒜末腌制30分钟。
2. 芝士塞入口，用牙签封好。
3. 烤盘铺锡纸，鸡腿刷油。
4. 烤箱200℃，烤25-30分钟。

小贴士
1. 芝士塞多爆浆效果好。
2. 用牙签防芝士流出。
3. 喜辣可撒辣椒粉。
",57
烤箱版橙香鸡翅,鸡肉,BV1Mb4y1Q7DU,简单,,烤,烤箱,"食材（1–2人份）
鸡中翅 8只
橙子 1个（取汁及片）
生抽 1勺
蜂蜜 1勺
盐 适量
黑胡椒 适量

一锅流程
1. 鸡翅划口加橙汁、生抽、蜂蜜、盐、黑胡椒腌1小时。
2. 烤盘铺锡纸，鸡翅码好，表面可放橙片。
3. 烤箱200℃烤20分钟翻面，再烤10分钟。
4. 最后刷腌料蜂蜜再烤。

小贴士
1. 橙汁鲜榨更香甜。
2. 腌久更入味。
3. 橙片烤微焦香气浓。
",58
烤箱版脆皮五花肉,猪肉,BV1VS4y137dE,普通,,烤,烤箱,"食材（1–2人份）
五花肉 500g
盐 适量
白醋 2勺
五香粉 1勺
生抽 1勺
料酒 1勺

一锅流程
1. 五花肉皮扎孔，皮抹盐醋，肉面抹生抽、料酒、五香粉腌2小时。
2. 烤盘铺锡纸皮朝上，表面再抹盐。
3. 烤箱200℃，烤30分钟，取出刮盐，220℃再烤20分钟。

小贴士
1. 扎孔多皮脆泡多。
2. 盐醋帮助脱水鼓泡。
3. 高温最后脆皮更好。
",59
烤箱版黑椒牛肉土豆焖饭,牛肉、土豆、胡萝卜、米、鸡蛋,BV14x411D7uN,,,,烤箱,"食材（1–2人份）
牛肉 100g
土豆 1个
大米 1杯
洋葱 1/4个
生抽 1勺
蚝油 1勺
黑胡椒 适量
盐 适量
清水 适量

一锅流程
1. 牛肉切丁加生抽、蚝油、黑胡椒腌20分钟。
2. 土豆、洋葱切丁，与淘洗干净的大米混合。
3. 加牛肉、盐，清水高于米面一指节，拌匀。
4. 烤盘盖锡纸，烤箱180℃烤35-40分钟。

小贴士
1. 牛肉切小更入味。
2. 水不要多，米饭弹性好。
3. 洋葱增香，可加胡萝卜等蔬菜。
",60
烤箱版烤串,猪肉、花菜,BV17P4y1W7Ze,简单,,烤,烤箱,"食材（1–2人份）
羊肉/鸡肉 200g
洋葱、青椒若干
孜然粉、辣椒粉各适量
盐适量
食用油1勺
烧烤酱2勺

一锅流程
1. 肉切块，加孜然、辣椒粉、盐、烧烤酱腌30分钟。
2. 肉和蔬菜交错串好刷油。
3. 烤箱200℃，烤18-22分钟翻面刷酱。

小贴士
1. 竹签泡水防焦。
2. 多翻动均匀受热。
3. 喜辣可加辣椒油。
",61
烤箱版烤花菜,花菜,BV1Nv411Y7kV,简单,,,烤箱,"食材（1–2人份）
花菜 1小颗
橄榄油 2勺
盐适量
黑胡椒适量
蒜末适量

一锅流程
1. 花菜洗净掰小朵，控干水。
2. 加橄榄油、蒜末、盐、黑胡椒拌匀铺烤盘。
3. 烤箱200℃，烤20-25分钟微焦软糯。

小贴士
1. 掰小更入味。
2. 喜脆缩短烤时。
3. 可撒孜然或辣椒粉。
",62
烤箱版烤西葫芦,西葫芦,BV1Nv411Y7kV,简单,,,烤箱,"食材（1–2人份）
西葫芦1根
橄榄油1勺
蒜末适量
盐适量
黑胡椒适量
帕尔马芝士碎（可选）少许

一锅流程
1. 西葫芦洗净切厚片铺烤盘。
2. 混橄榄油、蒜末、盐、黑胡椒刷表面。
3. 烤箱200℃中层烤15-20分钟。
4. 最后撒芝士碎再烤5分钟。

小贴士
1. 切片厚度均匀口感好。
2. 芝士可选其他奶酪。
3. 可加香草增香。
",63
烤箱版烤洋葱,洋葱,BV1Nv411Y7kV,简单,,,烤箱,"食材（1–2人份）
洋葱2个
橄榄油2勺
黑胡椒适量
盐适量
迷迭香少许（可选）

一锅流程
1. 洋葱切厚片或大块，铺烤盘。
2. 淋橄榄油、撒盐、黑胡椒和香草拌匀。
3. 烤箱200℃中层烤25-30分钟，中途翻动。
4. 金黄软糯即可。

小贴士
1. 切块别太薄防烤干。
2. 可加蜂蜜、香醋、蒜末。
3. 用烤盘纸防粘易清洗。
",64
烤箱版麻薯,鸡蛋,BV1CR4y1t7CM,普通,,,烤箱,"食材（1–2人份）
糯米粉120克
牛奶100毫升
玉米油20克
细砂糖25克
鸡蛋1个
芝士碎适量（可选）

一锅流程
1. 糯米粉、牛奶、玉米油、糖、蛋搅匀成面糊。
2. 烤箱180℃预热。
3. 面糊倒入纸杯/模具撒芝士。
4. 烤20分钟表面金黄。

小贴士
1. 面糊勿过度搅拌。
2. 可加椰蓉、可可粉。
3. 趁热吃外脆内糯。
",65
烤箱版气泡土豆,土豆,BV1mR4y1E7VH,普通,,烤,烤箱,"食材（1–2人份）
小土豆8-10颗
橄榄油1勺
盐适量
黑胡椒适量
迷迭香少许

一锅流程
1. 土豆带皮煮熟压扁，铺烤盘。
2. 刷橄榄油，撒盐、黑胡椒、迷迭香。
3. 烤箱200℃中层烤20-25分钟。

小贴士
1. 压扁易出气泡脆皮。
2. 可撒辣椒粉蒜末。
3. 小勺按压省力防烫。
",66
烤箱版烧烤,鸡肉、番茄、土豆,BV1Ra4y1x7Ua,简单,,烤,烤箱,"食材（1–2人份）
鸡翅根/五花肉/羊肉串300g
青红椒块适量
洋葱块适量
烧烤酱2勺
孜然粉适量
黑胡椒适量
盐适量
橄榄油1勺

一锅流程
1. 肉切块腌30分钟，穿串刷油。
2. 烤箱200℃，烤20-25分钟翻面。
3. 最后刷酱再烤3分钟。

小贴士
1. 竹签泡水防焦。
2. 烤时多翻动。
3. 可蘸孜然辣椒粉。
",67
烤箱版薯条,土豆,BV1nA411P7aX,普通,,,烤箱,"食材（1–2人份）
土豆2个
橄榄油1-2勺
盐适量
黑胡椒适量
番茄酱适量

一锅流程
1. 土豆切条泡水10分钟沥干。
2. 加油、盐、胡椒拌匀铺烤盘。
3. 烤箱200℃烤25-30分钟翻面。

小贴士
1. 吸干水分更脆。
2. 可撒辣椒粉椒盐。
3. 用锡纸防粘。
",68
烤箱版吮指鸡翅,鸡肉、土豆,BV12W411A7w8,普通,,烤,烤箱,"食材（1–2人份）
鸡中翅8-10只
生抽1勺
蚝油1勺
蜂蜜1勺
料酒1勺
蒜末适量
黑胡椒适量

一锅流程
1. 鸡翅划口腌1小时。
2. 烤盘铺锡纸鸡翅排好。
3. 烤箱200℃烤20分钟翻面再烤10分钟。
4. 最后刷蜂蜜5分钟。

小贴士
1. 划口入味腌久更好。
2. 蜂蜜更香亮。
3. 烤盘架更脆。
",69
烤箱版蒜蓉烤茄子,茄子,BV1Ff4y1P7ng,简单,,,烤箱,"食材（1–2人份）
长茄子1-2根
大蒜6瓣剁碎
生抽1勺
蚝油1勺
香葱适量
辣椒末适量
食用油2勺

一锅流程
1. 茄子对半剖开，划十字刀。
2. 切面朝上刷油，200℃烤15分钟。
3. 蒜末加生抽、蚝油、油调成酱。
4. 抹酱撒葱花辣椒再烤10分钟。

小贴士
1. 划刀易入味。
2. 可加芝士烤融化。
3. 时间按茄子大小调整。
",70
烤箱鸡翅根,鸡肉,BV1et411R7kG,普通,,烤,烤箱,"食材（2-3人份）
鸡翅根 8-10个
腌料：生抽 2勺，老抽 1勺，蜂蜜 1勺，蒜末 适量，黑胡椒 适量，料酒 1勺，盐 适量

一锅流程
1. 鸡翅根洗净，用牙签扎孔便于入味。
2. 与所有腌料混合均匀，冷藏腌制 1-2小时（过夜更佳）。
3. 烤盘铺锡纸，将鸡翅根排好，刷一层腌料。
4. 放入预热 200℃ 烤箱，中层烤 20 分钟，翻面再烤 10-15 分钟。
5. 取出刷一层蜂蜜水，再烤 3-5 分钟至表面焦香。

小贴士
1. 腌制时间越长越入味。
2. 刷蜂蜜水能让鸡翅表皮更有光泽且微焦香。
3. 喜欢辣味可加少许辣椒粉。",71
烤箱鸡蛋,鸡蛋,BV1Vp4y167P4,简单,,烤,烤箱,"食材（2人份）
鸡蛋 4个
橄榄油 少许
黑胡椒 适量
盐 适量
（可选配：芝士碎/火腿/蔬菜丁）

一锅流程
1. 烤盘或烤碗抹一层橄榄油，将鸡蛋敲入其中。
2. 表面撒上盐、黑胡椒，可加芝士或配菜。
3. 放入预热180℃烤箱，烘烤8-12分钟，蛋白凝固蛋黄微流动即可。
4. 取出即食。

小贴士
1. 烘烤时间决定蛋黄熟度，喜欢溏心缩短时间。
2. 可与吐司/蔬菜一同烤制，丰富营养。",72
烤箱腊肠焖饭,腊肠、花菜、米,BV14x411D7uN,,,,烤箱,"食材（2人份）
大米 1杯（提前浸泡30分钟）
广式腊肠 1根（切片）
胡萝卜 半根（切丁）
青豆 适量
生抽 1勺
香葱 适量
水 适量

一锅流程
1. 大米洗净沥干，倒入耐热烤盘，加入清水（米面高约1指节）。
2. 腊肠、胡萝卜丁、青豆均匀铺在米上，淋生抽拌匀。
3. 盖锡纸密封，送入预热200℃烤箱，烤约35-40分钟。
4. 取出撒葱花拌匀即可。

小贴士
1. 水量建议略多于平时煮饭，避免米饭太干。
2. 可搭配玉米粒、香菇丁等提升风味。",73
烤箱蜜汁鸡腿,鸡肉,BV1WW411S72C,普通,,烤,烤箱,"食材（2-3人份）
鸡全腿 2只（或去骨鸡腿排）
腌料：蜂蜜 2勺，生抽 2勺，老抽 1勺，料酒 1勺，蒜末 适量，黑胡椒 适量，盐 适量

一锅流程
1. 鸡腿洗净，用刀在厚处划两刀。
2. 混合腌料，腌制鸡腿1小时以上。
3. 烤盘铺锡纸，将鸡腿皮朝上排好。
4. 放入预热200℃烤箱，烤约20分钟，取出翻面刷腌汁，继续烤15分钟。
5. 最后取出刷一层蜂蜜，再烤5分钟上色。

小贴士
1. 刷蜂蜜时防止过焦，可加几滴柠檬汁调和风味。
2. 腌制可加迷迭香、百里香等香草提香。",74
